smallRNAName	NC1	NC2	NC3	NC4	NC5	Pcos1	Pcos2	Pcos3	Pcos4	Pcos5
tsrna-25642	0	0	0	0	0	0	0	3.984222479	0	0
tsrna-12690	0	0	0	0	0	0	0	0	5.664823711	0
tsrna-17437	7.906263342	0	0	8.809718882	2.510733385	11.95979118	3.766634399	0	5.664823711	6.570410158
tsrna-10770	5.270842228	1.084043743	2.583034885	13.21457832	3.766100078	0	7.533268798	1.992111239	0	0
tsrna-20003	0	0	0	0	0	0	3.766634399	0	0	0
tsrna-07321	60.61468562	17.34469989	30.99641862	26.42915665	21.34123377	47.83916473	45.19961279	23.90533487	56.64823711	36.13725587
tsrna-14239	65.88552785	7.588306203	21.95579652	13.21457832	18.83050039	35.87937355	33.89970959	5.976333718	16.99447113	16.42602539
tsrna-09356	2.635421114	0	2.583034885	8.809718882	1.255366693	0	0	15.93688992	16.99447113	0
tsrna-21037	2.635421114	3.25213123	6.457587213	13.21457832	5.02146677	11.95979118	11.2999032	1.992111239	5.664823711	6.570410158
tsrna-01554	0	0	3.874552328	0	0	0	0	0	0	0
tsrna-18851	10.54168446	1.084043743	5.16606977	4.404859441	5.02146677	11.95979118	26.36644079	1.992111239	0	6.570410158
tsrna-14878	0	2.168087487	1.291517443	0	2.510733385	5.979895591	7.533268798	1.992111239	0	3.285205079
tsrna-14170	21.08336891	1.084043743	11.62365698	4.404859441	3.766100078	5.979895591	3.766634399	7.968444958	5.664823711	3.285205079
tsrna-17473	7.906263342	0	0	0	0	0	3.766634399	0	0	0
tsrna-21928	2.635421114	0	2.583034885	0	2.510733385	0	0	5.976333718	0	6.570410158
tsrna-10105	777.4492286	985.3957627	1877.866362	1193.716908	640.2370132	902.9642342	1020.757922	1366.58831	1614.474758	1261.51875
tsrna-00924	0	0	1.291517443	4.404859441	0	0	0	0	0	0
tsrna-10879	0	0	1.291517443	0	0	0	3.766634399	0	0	0
tsrna-14938	279.3546381	238.4896235	455.9056572	532.9879924	697.9838811	197.3365545	323.9305583	553.8069246	311.5653041	308.8092774
tsrna-02792	0	0	1.291517443	13.21457832	1.255366693	0	3.766634399	1.992111239	0	0
tsrna-16310	0	0	0	0	3.766100078	0	0	0	11.32964742	0
tsrna-01317	15.81252668	4.336174973	7.749104656	39.64373497	7.532200156	0	11.2999032	1.992111239	73.64270824	13.14082032
tsrna-19669	7.906263342	6.50426246	7.749104656	8.809718882	11.29830023	11.95979118	7.533268798	5.976333718	5.664823711	6.570410158
tsrna-04232	10.54168446	1.084043743	6.457587213	4.404859441	6.276833463	5.979895591	7.533268798	11.95266744	0	6.570410158
tsrna-17115	2.635421114	2.168087487	3.874552328	0	1.255366693	0	0	3.984222479	5.664823711	6.570410158
tsrna-18719	2.635421114	1.084043743	1.291517443	0	10.04293354	5.979895591	15.0665376	0	0	6.570410158
tsrna-04554	2.635421114	11.92448118	14.20669187	8.809718882	6.276833463	17.93968677	15.0665376	9.960556197	5.664823711	9.855615237
tsrna-22019	13.17710557	7.588306203	9.040622098	13.21457832	10.04293354	5.979895591	18.833172	17.92900116	22.65929484	26.28164063
tsrna-14548	2.635421114	0	0	0	0	0	0	0	0	0
tsrna-19347	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-00625	0	0	2.583034885	0	0	0	0	0	0	0
tsrna-07503	2.635421114	0	0	0	0	0	0	0	0	0
tsrna-14557	42.16673782	1.084043743	9.040622098	26.42915665	20.08586708	0	11.2999032	7.968444958	39.65376597	16.42602539
tsrna-14070	2.635421114	2.168087487	3.874552328	0	7.532200156	0	7.533268798	9.960556197	5.664823711	3.285205079
tsrna-24654	0	0	1.291517443	0	0	0	0	0	0	0
